Name	Permeability
CHEMBL1779407	Permeable
CHEMBL1779417	Permeable
CHEMBL31241	Non-Permeable
CHEMBL602671	Permeable
CHEMBL475207	Permeable
CHEMBL278818	Permeable
CHEMBL1630525	Non-Permeable
CHEMBL1807273	Permeable
CHEMBL590175	Permeable
CHEMBL1643590	Non-Permeable
CHEMBL1630524	Non-Permeable
CHEMBL196780	Non-Permeable
CHEMBL372516	Non-Permeable
CHEMBL491421	Permeable
CHEMBL489387	Permeable
CHEMBL196688	Non-Permeable
CHEMBL197822	Non-Permeable
CHEMBL194431	Permeable
CHEMBL2037513	Non-Permeable
CHEMBL2037489	Non-Permeable
CHEMBL466762	Permeable
CHEMBL2172290	Non-Permeable
CHEMBL592732	Permeable
CHEMBL257916	Non-Permeable
CHEMBL271266	Non-Permeable
CHEMBL31476	Non-Permeable
CHEMBL1779420	Permeable
CHEMBL1779235	Permeable
CHEMBL1630523	Non-Permeable
CHEMBL2035014	Permeable
CHEMBL2035012	Permeable
CHEMBL1630522	Non-Permeable
CHEMBL2369425	Non-Permeable
CHEMBL2172293	Non-Permeable
CHEMBL2424668	Permeable
CHEMBL256692	Non-Permeable
CHEMBL403477	Non-Permeable
CHEMBL257660	Non-Permeable
CHEMBL403149	Non-Permeable
CHEMBL119793	Permeable
CHEMBL1161978	Non-Permeable
CHEMBL572709	Non-Permeable
CHEMBL281243	Permeable
CHEMBL115305	Permeable
CHEMBL31651	Permeable
CHEMBL1779403	Non-Permeable
CHEMBL281106	Non-Permeable
CHEMBL1630532	Non-Permeable
CHEMBL3416758	Non-Permeable
CHEMBL1161979	Non-Permeable
CHEMBL287628	Permeable
CHEMBL69520	Non-Permeable
CHEMBL279782	Permeable
CHEMBL286771	Permeable
CHEMBL338308	Non-Permeable
CHEMBL268306	Non-Permeable
CHEMBL427227	Non-Permeable
CHEMBL1765666	Non-Permeable
CHEMBL592494	Permeable
CHEMBL592731	Permeable
CHEMBL602641	Permeable
CHEMBL1089025	Permeable
CHEMBL1093365	Permeable
CHEMBL1092457	Permeable
CHEMBL1092459	Permeable
CHEMBL376685	Non-Permeable
CHEMBL515818	Non-Permeable
CHEMBL3142790	Non-Permeable
CHEMBL428694	Non-Permeable
CHEMBL287293	Permeable
CHEMBL1790717	Non-Permeable
CHEMBL287042	Non-Permeable
CHEMBL4458988	Non-Permeable
CHEMBL3142789	Non-Permeable
CHEMBL69201	Non-Permeable
CHEMBL211556	Permeable
CHEMBL210029	Non-Permeable
CHEMBL379192	Non-Permeable
CHEMBL2391300	Non-Permeable
CHEMBL308673	Non-Permeable
CHEMBL562946	Permeable
CHEMBL563771	Permeable
CHEMBL550244	Permeable
CHEMBL68752	Non-Permeable
CHEMBL69539	Non-Permeable
CHEMBL26877	Permeable
CHEMBL515384	Non-Permeable
CHEMBL456254	Non-Permeable
CHEMBL456464	Non-Permeable
CHEMBL458635	Non-Permeable
CHEMBL1093776	Permeable
CHEMBL105406	Permeable
CHEMBL279230	Permeable
CHEMBL4129142	Non-Permeable
CHEMBL4128839	Non-Permeable
CHEMBL2113216	Non-Permeable
CHEMBL2113215	Non-Permeable
CHEMBL2113206	Non-Permeable
CHEMBL200329	Permeable
CHEMBL198780	Non-Permeable
CHEMBL198622	Permeable
CHEMBL2112249	Non-Permeable
CHEMBL211440	Non-Permeable
CHEMBL1790721	Non-Permeable
CHEMBL3416757	Permeable
CHEMBL31645	Permeable
CHEMBL4206482	Permeable
CHEMBL1253499	Permeable
CHEMBL551395	Permeable
CHEMBL4204210	Permeable
CHEMBL4217872	Permeable
CHEMBL513488	Non-Permeable
CHEMBL278988	Non-Permeable
CHEMBL3301668	Non-Permeable
CHEMBL2037512	Non-Permeable
CHEMBL2035015	Non-Permeable
CHEMBL285820	Non-Permeable
CHEMBL1643586	Non-Permeable
CHEMBL2035016	Non-Permeable
CHEMBL1790720	Non-Permeable
CHEMBL2037498	Non-Permeable
CHEMBL2037496	Non-Permeable
CHEMBL2037499	Non-Permeable
CHEMBL2037494	Non-Permeable
CHEMBL2037509	Non-Permeable
CHEMBL2037500	Non-Permeable
CHEMBL4203314	Permeable
CHEMBL420762	Permeable
CHEMBL283676	Permeable
CHEMBL3307200	Permeable
CHEMBL3813858	Non-Permeable
CHEMBL382301	Non-Permeable
CHEMBL4583231	Non-Permeable
CHEMBL382518	Permeable
CHEMBL105733	Permeable
CHEMBL2172288	Non-Permeable
CHEMBL395429	Non-Permeable
CHEMBL3814395	Non-Permeable
CHEMBL2037517	Non-Permeable
CHEMBL2037497	Non-Permeable
CHEMBL2037486	Non-Permeable
CHEMBL2035009	Non-Permeable
CHEMBL3765356	Permeable
CHEMBL3354594	Non-Permeable
CHEMBL4218211	Permeable
CHEMBL3813894	Non-Permeable
CHEMBL4467042	Non-Permeable
CHEMBL4209952	Permeable
CHEMBL4205046	Permeable
CHEMBL4215696	Permeable
